Unnamed: 0,0
Galaxy Tab A 8.0 (2019),189
Galaxy Xcover 4s,294
Galaxy M40,409
Galaxy View2,127
Galaxy S10 5G,502
Galaxy S10+,522
Galaxy S10,550
Galaxy S10e,438
Galaxy Fold,362
Galaxy A2 Core,220
Galaxy M30,403
Galaxy M20,409
Galaxy M10,270
Galaxy A80,393
Galaxy A70,393
Galaxy A60,409
Galaxy A50,403
Galaxy A40,437
Galaxy A30,403
Galaxy A20e,296
Galaxy A20,268
Galaxy A10,271
Galaxy Tab S5e,288
Galaxy Tab A 10.1 (2019),224
Galaxy Tab A 8.0 & S Pen (2019),283
Galaxy Tab A 8.0 (2018),189
Galaxy Tab S4 10.5,287
Galaxy Tab A 10.5,216
Galaxy A8s,403
Galaxy A6s,402
Galaxy A9 (2018),393
Galaxy A7 (2018),411
Galaxy Note9,516
Galaxy Watch,278
Galaxy J6+,274
Galaxy J4 Core,274
Galaxy J4+,274
Galaxy J2 Core,220
Galaxy On6,294
Galaxy J7 (2018),267
Galaxy J3 (2018),294
Galaxy A8 Star (A9 Star),392
Galaxy S Light Luxury,426
Galaxy J8,274
Galaxy J6,293
Galaxy J4,267
Galaxy A6+ (2018),411
Galaxy A6 (2018),294
Galaxy J7 Duo,267
Galaxy J7 Prime 2,401
Galaxy S9+,529
Galaxy S9,570
Galaxy J2 Pro (2018),220
Galaxy A8+ (2018),411
Galaxy A8 (2018),441
Galaxy J2 (2017),234
Galaxy Tab Active 2,189
Galaxy Tab A 8.0 (2017),189
Galaxy C7 (2017),401
Galaxy Note8,521
Galaxy S8 Active,568
Galaxy J7 V,267
Galaxy Note FE,515
Galaxy J7 Max,386
Galaxy J7 Pro,401
Galaxy J7 (2017),401
Galaxy J5 (2017),282
Galaxy J3 (2017),294
Galaxy Folder2,246
Z4,207
Galaxy S8,570
Galaxy S8+,529
Gear S3 classic LTE,392
Galaxy C5 Pro,424
Galaxy Xcover 4,294
Galaxy Tab S3 9.7,264
Galaxy J1 mini prime,233
Galaxy J3 Emerge,294
Galaxy C7 Pro,386
Galaxy A7 (2017),386
Galaxy A5 (2017),424
Galaxy A3 (2017),312
Galaxy Grand Prime Plus,220
Galaxy J2 Prime,220
Galaxy C9 Pro,367
Galaxy A8 (2016),386
Galaxy On8,401
Galaxy On7 (2016),401
Gear S3 frontier LTE,278
Galaxy J5 Prime,294
Galaxy J7 Prime,401
Z2,233
Galaxy Note7 (USA),515
Galaxy Note7,518
Galaxy On7 Pro,267
Galaxy On5 Pro,294
Galaxy Tab J,216
Galaxy J Max,216
Galaxy J2 Pro (2016),294
Galaxy J2 (2016),294
Z3 Corporate,294
Galaxy Xcover 3 G389F,207
Galaxy S7 active,576
Galaxy J3 Pro,294
Galaxy C7,386
Galaxy C5,424
Galaxy A9 Pro (2016),367
Galaxy J7 (2016),267
Galaxy J5 (2016),282
Galaxy Tab A 10.1 (2016),224
Galaxy Tab A 7.0 (2016),216
Galaxy S7,577
Galaxy S7 edge,534
Galaxy S7 edge (USA),534
Galaxy S7 (USA),576
Galaxy J1 Nxt,233
Gear S2 classic 3G,424
Galaxy Tab E 8.0,189
Galaxy J1 (2016),207
Galaxy A9 (2016),367
Galaxy A7 (2016),401
Galaxy A5 (2016),424
Galaxy A3 (2016),312
Galaxy Express Prime,294
Galaxy J3 (2016),294
Galaxy View,120
Galaxy On7,267
Galaxy On5,288
Z3,294
Galaxy J1 Ace,217
Gear S2 3G,302
Galaxy Note5 (USA),515
Galaxy Note5,518
Galaxy Note5 Duos,515
Galaxy S6 edge+ (USA),515
Galaxy S6 edge+,518
Galaxy S6 edge+ Duos,515
Galaxy S5 Neo,432
Galaxy S4 mini I9195I,256
Galaxy Folder,246
Galaxy Tab S2 9.7,264
Galaxy Tab S2 8.0,320
Galaxy A8 Duos,386
Galaxy A8,386
Galaxy V Plus,233
Galaxy J7,267
Galaxy J7 Nxt,267
Galaxy J5,294
Galaxy Tab E 9.6,157
Xcover 550,167
Galaxy S6 active,576
Galaxy Tab 3 V,170
Galaxy Tab A 9.7 & S Pen,132
Galaxy Tab A 9.7,132
Galaxy Tab A 8.0 & S Pen (2015),160
Galaxy Tab A 8.0 (2015),160
Galaxy Xcover 3,207
Galaxy S6 edge (USA),576
Galaxy S6 (USA),576
Galaxy S6 edge,577
Galaxy S6 Plus,401
Galaxy S6 Duos,576
Galaxy S6,577
Galaxy J1 4G,217
Galaxy J1,217
Galaxy J2,234
Z1,233
Galaxy A7 Duos,401
Galaxy A7,401
Galaxy Grand Max,282
Galaxy E7,267
Galaxy E5,294
Galaxy Core Prime,207
Galaxy A5 Duos,294
Galaxy A5,294
Galaxy A3 Duos,245
Galaxy A3,245
Galaxy S5 Plus,432
Galaxy Pocket 2,121
Galaxy V,233
Galaxy Grand Prime Duos TV,220
Galaxy Grand Prime,220
Galaxy Ace Style LTE G357,217
Galaxy Note Edge,524
Galaxy Note 4 Duos,515
Galaxy Note 4 (USA),518
Galaxy Note 4,518
Galaxy Tab Active LTE,189
Galaxy Mega 2,245
Gear S,300
Galaxy S5 LTE-A G901F,432
Galaxy Alpha (S801),312
Galaxy Alpha,312
Galaxy S5 mini Duos,326
Galaxy Avant,245
Galaxy S Duos 3,233
Galaxy Ace NXT,233
Galaxy S5 mini,326
Galaxy Ace 4 LTE G313,233
Galaxy Ace 4,233
Galaxy Young 2,165
Galaxy Core II,207
Galaxy S5 Sport,432
Galaxy S5 LTE-A G906S,577
Galaxy Tab S 8.4 LTE,359
Galaxy Tab S 10.5 LTE,288
Galaxy Core Lite LTE,199
I9301I Galaxy S3 Neo,306
Galaxy W,210
Z,306
Galaxy S5 Active,432
Galaxy K zoom,306
Galaxy Beam2,200
I9300I Galaxy S3 Neo,306
Galaxy Ace Style,233
ATIV SE,441
Galaxy Tab 4 7.0 3G,216
Galaxy Tab 4 7.0 LTE,216
Galaxy Tab 4 8.0 3G,189
Galaxy Tab 4 8.0 LTE,189
Galaxy Tab 4 10.1 3G,149
Galaxy Tab 4 10.1 LTE,149
G3812B Galaxy S3 Slim,244
I8200 Galaxy S III mini VE,233
Galaxy S5 Duos,432
Galaxy S5 (octa-core),432
Galaxy S5 (USA),432
Galaxy S5,432
Galaxy Core LTE G386W,245
Galaxy Core LTE,245
S5611,167
Galaxy Star Trios S5283,127
Galaxy Note 3 Neo Duos,267
Galaxy Note 3 Neo,267
Galaxy Tab 3 Lite 7.0 3G,170
Galaxy Grand Neo,186
Galaxy Note Pro 12.2 LTE,247
Galaxy Note Pro 12.2 3G,247
Galaxy Tab Pro 12.2 LTE,247
Galaxy Tab Pro 12.2 3G,247
Galaxy Tab Pro 10.1 LTE,299
Galaxy Tab Pro 8.4 3G/LTE,359
Galaxy Core Advance,199
Galaxy S4 Active LTE-A,441
Galaxy J,441
Galaxy Win Pro G3812,245
Galaxy S Duos 2 S7582,233
Galaxy Grand 2,280
I9230 Galaxy Golden,252
Galaxy Express 2,245
C3590,167
I9506 Galaxy S4,441
Galaxy Light,233
Galaxy Round G910S,386
Galaxy Fresh S7390,233
Galaxy Core Plus,217
Galaxy Fame Lite Duos S6792L,165
Galaxy Fame Lite S6790,165
Galaxy Note 10.1 (2014),299
Galaxy Note 3,386
Galaxy Prevail 2,233
Gravity Q T289,133
ATIV S Neo,308
Galaxy S4 zoom,256
Galaxy S II TV,233
Galaxy Ace 3,233
I9190 Galaxy S4 mini,256
I9295 Galaxy S4 Active,441
Galaxy Tab 3 8.0,189
Galaxy Tab 3 10.1 P5220,149
Galaxy Tab 3 10.1 P5200,149
Galaxy Exhibit T599,246
Galaxy Core I8260,217
Galaxy Tab 3 7.0,170
Galaxy Mega 6.3 I9200,233
Galaxy Mega 5.8 I9150,190
Galaxy Trend II Duos S7572,233
Galaxy Win I8550,199
Galaxy Pocket Neo S5310,133
I9505 Galaxy S4,441
I9500 Galaxy S4,441
I9502 Galaxy S4,441
Galaxy S4 CDMA,441
Galaxy Note 8.0,189
Galaxy Y Plus S5303,143
Galaxy Young S6310,176
Galaxy Fame S6810,165
Galaxy Express I8730,207
S7710 Galaxy Xcover 2,233
I9105 Galaxy S II Plus,217
Ativ Odyssey I930,233
Galaxy Grand I9082,187
Galaxy Grand I9080,187
Galaxy Note LTE 10.1 N8020,149
A997 Rugby III,167
Galaxy Axiom R830,233
Galaxy Stratosphere II I415,233
Galaxy Discover S730M,165
Galaxy Pop SHV-E220,316
Galaxy Premier I9260,316
I8190 Galaxy S III mini,233
Galaxy Music S6010,133
Galaxy Music Duos S6012,133
Galaxy Rugby Pro I547,233
Galaxy Express I437,207
I9305 Galaxy S III,306
Galaxy Victory 4G LTE L300,233
Galaxy S Relay 4G T699,233
Galaxy Pocket Duos S5302,143
Galaxy Note II N7100,267
Galaxy Note II CDMA,267
Ativ S I8750,306
Galaxy Camera GC100,306
Galaxy Rush M830,165
Galaxy Stellar 4G I200,233
Galaxy Reverb M950,233
Galaxy Tab 2 7.0 I705,170
Galaxy Note 10.1 N8000,149
Galaxy S Lightray 4G R940,217
Galaxy S Duos S7562,233
Manhattan E3300,102
Galaxy Chat B5330,133
U485 Intensity III,167
Galaxy I8250,233
Galaxy Ace Advance S6800,165
Galaxy Ace Duos S6802,165
Galaxy Appeal I827,180
Galaxy Tab 8.9 4G P7320T,170
Galaxy Proclaim S720C,165
Omnia M S7530,233
I9500 Fraser,316
Focus 2 I667,233
Galaxy S III T999,306
Galaxy S III I747,306
Galaxy S III CDMA,306
I9300 Galaxy S III,306
U380 Brightside,129
Galaxy Pocket plus S5301,143
Galaxy Pocket S5300,143
I8530 Galaxy Beam,233
Galaxy Tab 2 10.1 CDMA,149
Galaxy Tab 2 10.1 P5100,149
Rugby Smart I847,252
W999,267
Galaxy Ace II X S7560M,233
Galaxy Ace 2 I8160,246
Galaxy mini 2 S6500,176
Galaxy Ace Duos I589,165
Galaxy Pop Plus S5570i,127
Galaxy Tab 2 7.0 P3100,170
I9070 Galaxy S Advance,233
Galaxy Nexus I9250M,316
Galaxy Attain 4G,165
Galaxy S Blaze 4G T769,235
Galaxy Tab 7.7 LTE I815,196
Galaxy Nexus LTE L700,316
Exhilarate i577,233
Galaxy S II Skyrocket HD I757,316
Galaxy Note T879,285
Galaxy Note I717,285
Galaxy M Style M340S,233
Galaxy Ace Plus S7500,158
Galaxy Y Duos S6102,127
Galaxy Y Pro Duos B5512,154
M370,167
R680 Repp,180
I110 Illusion,165
Focus S I937,217
Focus Flash I677,252
Galaxy S II Skyrocket i727,207
Exhibit II 4G T679,252
Galaxy Nexus i515,316
Galaxy Nexus I9250,316
I9100G Galaxy S II,217
I405 Stratosphere,233
R730 Transfix,180
i927 Captivate Glide,233
DoubleTime I857,180
M930 Transform Ultra,165
P6200 Galaxy Tab 7.0 Plus,170
Omnia W I8350,252
Galaxy S II HD LTE,316
Ch@t 527,167
P6800 Galaxy Tab 7.7,196
Galaxy Note N7000,285
Galaxy S II I777,217
Galaxy S II X T989D,206
Galaxy S II T989,206
Galaxy S II Epic 4G Touch,206
S8600 Wave 3,233
Wave M S7250,158
Wave Y S5380,180
Galaxy S II LTE i727R,207
Galaxy S II LTE I9210,207
Galaxy Tab 8.9 LTE I957,170
Galaxy W I8150,252
Galaxy M Pro B7800,217
Galaxy Y Pro B5510,154
Galaxy Y TV S5367,127
Galaxy Y S5360,133
Gravity TXT T379,164
Galaxy Q T589R,180
S5610,167
S3770,143
S5690 Galaxy Xcover,158
Galaxy S II 4G I9100M,217
I9103 Galaxy R,222
R720 Admire,165
Convoy 2,182
Conquer 4G,165
R640 Character,
Trender,143
Gravity SMART,180
Exhibit 4G,267
C414,182
Dart T499,127
R260 Chrono,200
I9001 Galaxy S Plus,233
M580 Replenish,143
Galaxy Prevail,180
M220L Galaxy Neo,267
Google Nexus S I9020A,233
Google Nexus S I9023,233
P7500 Galaxy Tab 10.1 3G,149
Galaxy Tab 10.1 LTE I905,149
Galaxy Tab 8.9 P7300,170
Google Nexus S 4G,233
Galaxy Pro B7510,143
I9100 Galaxy S II,217
S5780 Wave 578,146
P7100 Galaxy Tab 10.1v,149
E3213 Hero,102
E3210,102
I9003 Galaxy SL,233
Galaxy Ace S5830I,165
Galaxy Ace S5830,165
Galaxy Fit S5670,121
Galaxy Gio S5660,180
Galaxy Mini S5570,127
Galaxy Pop i559,127
Galaxy S 4G T959,233
I997 Infuse 4G,207
R910 Galaxy Indulge,165
Droid Charge I510,217
Google Nexus S,233
M190S Galaxy S Hoppin,233
I9010 Galaxy S Giorgio Armani,233
A817 Solstice II,139
A667 Evergreen,208
I100 Gem,146
R710 Suede,155
U750 Zeal,154
Continuum I400,274
Mpower Txt M369,182
Mpower TV S239,167
Focus,233
I8700 Omnia 7,233
S5750 Wave575,146
S8530 Wave II,252
M210S Wave2,252
Galaxy Tab T-Mobile T849,170
P1000 Galaxy Tab,170
Galaxy Tab CDMA P100,170
Galaxy Tab 4G LTE,170
R580 Profile,167
R570 Messenger III,167
A200K Nori F,167
A220 F Nori,155
M130K Galaxy K,252
Mesmerize i500,233
M920 Transform,165
Galaxy 551,146
Xcover 271,200
R900 Craft,283
S7230E Wave 723,146
M130L Galaxy U,252
S5530,182
U360 Gusto,102
Fascinate,233
Vibrant,233
A927 Flight II,155
T669 Gravity T,
T479 Gravity 3,
:) Smiley,
C5010 Squash,102
i897 Captivate,233
B7350 Omnia PRO 4,173
B6520 Omnia PRO 5,167
U320 Haven,128
U460 Intensity II,182
M350 Seek,154
Epic 4G,233
Acclaim,180
Intercept,146
R360 Messenger Touch,154
i225 Exec,167
M570 Restore,150
R351 Freeform,128
I5500 Galaxy 5,143
I5801 Galaxy Apollo,146
I5800 Galaxy 3,146
B7722,146
A847 Rugby II,182
W960 AMOLED 3D,146
M110S Galaxy S,233
Galaxy A,252
I9000 Galaxy S,233
I6500U Galaxy,180
S3370,154
Metro TV,200
Corby TV F339,143
W9705,167
A687 Strive,154
S8500 Wave,283
I8520 Galaxy Beam,252
S5620 Monte,155
S5550 Shark 2,182
S5350 Shark,182
M5650 Lindy,143
C3730C,182
C5130,141
A897 Mythic,223
S5500 Eco,182
A797 Flight,143
A886 Forever,155
S5630C,143
I5700 Galaxy Spica,180
B7620 Giorgio Armani,267
T939 Behold 2,180
W880 AMOLED 12M,283
Vodafone 360 H1,267
Vodafone 360 M1,146
B5310 CorbyPRO,143
F480i,143
B7330 OmniaPRO,173
S5510,190
S7550 Blue Earth,155
T659 Scarlet,
U450 DoubleTake,134
i220 Code,167
R860 Caliber,179
R520 Trill,128
M900 Moment,180
i350 Intrepid,157
M850 Instinct HD,222
U960 Rogue,301
A887 Solstice,155
T469 Gravity 2,167
T559 Comeback,138
T746 Impact,155
S5600v Blade,143
S6700,167
C5510,182
W850,267
S8000 Jet,301
I8000 Omnia II,252
B7610 OmniaPRO,267
B7320 OmniaPRO,167
B7300 OmniaLITE,155
M8910 Pixon12,301
i637 Jack,167
I7500 Galaxy,180
J165,
A657,148
A877 Impression,146
Propel Pro,177
S5600 Preston,143
i8910 Omnia HD,198
S8300 UltraTOUCH,167
M7600 Beat DJ,167
M6710 Beat DISC,179
S7350 Ultra s,179
S7220 Ultra b,182
C5220,141
i7410,146
T929 Memoir,155
C6625,154
U810 Renown,182
i770 Saga,177
A867 Eternity,146
A777,122
T919 Behold,133
C6620,154
i907 Epix,181
A767 Propel,128
i7110,154
M8800 Pixon,146
M7500 Emporio Armani,182
A637,120
A837 Rugby,141
B2700,148
i8510 INNOV8,143
S7330,182
J800 Luxe,128
L700,134
i900 Omnia,146
U800 Soul b,200
L870,167
V820L,154
G400 Soul,182
U900 Soul,182
L810v Steel,182
F480,143
G810,154
A827 Access,174
P960,154
i200,174
F400,182
J630,128
L770,190
A746,128
A727,141
A717,
A711,174
SPH-i325 Ace,174
i640,167
L170,176
T819,134
F490,150
G800,167
Serenata,150
i780,177
i560,167
i550,154
F330,190
i450,167
J400,141
J750,157
A737,141
T639,128
Z630,182
J200,157
L760,141
F700,157
i620,182
A411,102
ZV60,148
Z240,134
Z170,157
U700,182
i520,174
F520,184
F510,167
i600,174
i617 BlackJack II,167
i607 BlackJack,174
F500,167
P940,186
P930,174
Z720,190
Z650i,182
Z620,174
Z370,148
Z360,134
Z400,200
Z550,200
ZV50,
ZV40,148
Z560,174
P920,182
P910,182
Z710,
Z600,
Z520,
Z350,200
Z230,148
Z330,
Z310,
Z150,148
Z540,
Z510,
ZV30,
ZV10,
Z320i,141
Z500,
Z300,141
Z130,
Z140,
Z700,
Z110,182
